entity_name,role,surface,rally_bucket,n_points,rally_advantage,avg_actual,avg_expected
Alex Kuznetsov,Server,Hard,0-3,24,-0.266679819436119,0.4166666666666667,0.6833464861027857
Alex Kuznetsov,Server,Hard,10+,3,-0.18727790499610864,0.3333333333333333,0.520611238329442
Alex Kuznetsov,Server,Hard,4-6,13,0.20945318498034737,0.7692307692307693,0.5597775842504219
Alex Kuznetsov,Server,Hard,7-9,2,-0.4425161174260779,0.0,0.4425161174260779
Alex Marti Pujolras,Server,Clay,0-3,21,-0.17561834048554653,0.47619047619047616,0.6518088166760228
Alex Marti Pujolras,Server,Clay,10+,10,-0.380962703654788,0.1,0.480962703654788
Alex Marti Pujolras,Server,Clay,4-6,11,-0.24839033803908334,0.2727272727272727,0.5211176107663561
Alex Marti Pujolras,Server,Clay,7-9,7,-0.19522324786761608,0.2857142857142857,0.4809375335819018
Alex Michelsen,Server,Grass,0-3,209,-0.001964894627431244,0.6698564593301436,0.6718213539575748
Alex Michelsen,Server,Grass,10+,23,-0.14498314666872106,0.34782608695652173,0.49280923362524276
Alex Michelsen,Server,Grass,4-6,85,0.10428509821225075,0.6705882352941176,0.5663031370818669
Alex Michelsen,Server,Grass,7-9,30,0.005573906755895049,0.5333333333333333,0.5277594265774382
Alex Michelsen,Server,Hard,0-3,419,0.016541101458360245,0.6873508353221957,0.6708097338638355
Alex Michelsen,Server,Hard,10+,73,-0.03144906825683458,0.4931506849315068,0.5245997531883415
Alex Michelsen,Server,Hard,4-6,248,0.001357845470944968,0.5483870967741935,0.5470292513032485
Alex Michelsen,Server,Hard,7-9,104,0.03485498501736896,0.5384615384615384,0.5036065534441695
Alex Molcan,Server,Clay,0-3,41,0.12313175742395378,0.7804878048780488,0.657356047454095
Alex Molcan,Server,Clay,10+,13,0.027958703566337544,0.5384615384615384,0.5105028348952009
Alex Molcan,Server,Clay,4-6,31,0.10771171588989185,0.6451612903225806,0.5374495744326888
Alex Molcan,Server,Clay,7-9,18,-0.05759212810583717,0.4444444444444444,0.5020365725502817
Alex Molcan,Server,Hard,0-3,334,0.021508621534339138,0.6976047904191617,0.6760961688848225
Alex Molcan,Server,Hard,10+,122,0.07176961674106734,0.5737704918032787,0.5020008750622114
Alex Molcan,Server,Hard,4-6,195,0.0022949554742136254,0.5538461538461539,0.5515511983719402
Alex Molcan,Server,Hard,7-9,111,-0.050183155155174956,0.46846846846846846,0.5186516236236435
Alex Radulescu,Server,Grass,0-3,94,-0.0025488386067893504,0.6595744680851063,0.6621233066918958
Alex Radulescu,Server,Grass,10+,1,-0.5694993189373271,0.0,0.5694993189373271
Alex Radulescu,Server,Grass,4-6,30,0.025445369485805794,0.5666666666666667,0.5412212971808609
Alex Radulescu,Server,Grass,7-9,3,0.13156289154579273,0.6666666666666666,0.5351037751208739
